Population Density(sq mi)▼,Zip , Population
"11,447.60",10606 ,"17,293"
"11,415.90",11234 ,"95,610"
"11,370.40",11693 ,"11,338"
"11,305.50",14222 ,"14,519"
"11,108.00",10704 ,"31,198"
"10,890.20",12222 ,"5,966"
"10,819.60",10805 ,"18,898"
"10,783.50",10304 ,"41,864"
"10,740.70",10301 ,"39,367"
"10,732.70",11003 ,"44,907"
"10,586.90",11580 ,"41,525"
"10,548.50",11010 ,"25,054"
"10,433.30",10470 ,"14,880"
"10,426.80",14619 ,"15,237"
"10,138.90",12210 ,"9,147"
"9,880.30",14213 ,"23,468"
"9,698.00",10305 ,"41,471"
"9,694.60",12307 ,"6,951"
"9,670.30",13203 ,"16,437"
"9,598.30",14607 ,"16,159"
"9,589.20",11563 ,"22,984"
"9,406.90",14209 ,"8,597"
"9,347.40",11501 ,"19,155"
"9,310.60",11575 ,"16,674"
"9,268.20",11101 ,"25,317"
"8,807.10",11561 ,"37,599"
"8,778.80",11363 ,"7,625"
"8,667.70",13902 ,"6,172"
"8,601.30",11516 ,"7,513"
"8,479.30",11040 ,"40,799"
"8,459.80",10471 ,"21,935"
"8,169.20",14621 ,"34,576"
"8,104.30",10707 ,"10,525"
"8,086.20",14215 ,"39,786"
"7,987.60",11596 ,"10,638"
"7,972.40",10474 ,"12,223"
"7,913.00",11520 ,"43,632"
"7,910.30",14208 ,"10,918"
"7,901.10",11565 ,"8,820"
"7,872.40",14216 ,"22,203"
"7,812.70",10312 ,"61,105"
"7,754.20",14301 ,"12,965"
"7,735.10",11726 ,"21,102"
"7,691.50",10303 ,"24,348"
"7,632.30",11756 ,"42,321"
"7,621.60",10307 ,"15,006"
"7,552.50",11553 ,"26,506"
"7,504.40",14605 ,"13,737"
"7,413.30",11570 ,"27,896"
"7,398.20",12206 ,"15,757"
"7,348.70",11762 ,"23,053"
"7,337.10",11021 ,"17,478"
"7,305.40",10708 ,"22,497"
"7,287.30",10306 ,"54,888"
"7,209.60",11581 ,"20,956"
"7,133.40",14217 ,"22,911"
"6,994.50",11362 ,"17,897"
"6,954.60",11510 ,"33,430"
"6,929.10",10573 ,"38,656"
"6,910.60",14214 ,"19,743"
"6,861.30",11590 ,"45,972"
"6,762.00",11518 ,"10,065"
"6,755.80",14608 ,"12,377"
"6,695.10",12604 ,660
"6,690.40",11507 ,"7,224"
"6,672.10",14223 ,"22,901"
"6,568.30",12308 ,"15,187"
"6,556.50",14613 ,"12,212"
"6,448.40",10709 ,"9,347"
"6,363.10",11710 ,"35,151"
"6,349.80",14220 ,"24,525"
"6,320.40",11757 ,"44,923"
"6,234.40",11552 ,"22,949"
"6,108.10",11598 ,"12,927"
"6,107.40",13210 ,"27,905"
"6,095.50",10314 ,"87,524"
"6,093.90",14611 ,"17,773"
"5,985.90",11801 ,"39,805"
"5,980.90",11554 ,"37,513"
"5,935.60",14207 ,"23,285"
"5,916.80",11783 ,"21,170"
"5,883.70",10927 ,"12,060"
"5,793.90",11514 ,"5,197"
"5,759.30",13202 ,"5,745"
"5,754.40",14212 ,"10,974"
"5,701.40",10803 ,"12,523"
"5,657.80",10710 ,"27,388"
"5,616.70",14620 ,"25,689"
"5,591.70",10119 ,92
"5,584.00",11023 ,"9,955"
"5,524.40",12209 ,"11,844"
"5,513.40",11572 ,"28,901"
"5,465.60",14609 ,"44,103"
"5,456.00",10977 ,"60,650"
"5,446.40",13205 ,"18,788"
"5,443.80",10603 ,"17,924"
"5,441.60",11717 ,"59,449"
"5,402.40",10004 ,"3,024"
"5,391.30",11714 ,"23,313"
"5,388.10",13208 ,"22,490"
"5,274.40",11566 ,"33,791"
"5,183.90",10566 ,"23,875"
"5,169.80",11701 ,"27,423"
"5,160.20",14211 ,"20,885"
"5,138.10",11703 ,"16,249"
"5,099.10",11722 ,"37,181"
"5,097.20",12208 ,"21,417"
"4,957.90",14204 ,"8,905"
"4,937.60",10309 ,"33,382"
"4,922.90",11704 ,"40,685"
"4,819.20",14616 ,"28,638"
"4,811.80",11758 ,"55,900"
"4,810.70",11784 ,"26,312"
"4,753.20",11579 ,"5,336"
"4,743.90",10543 ,"20,250"
"4,739.60",14261 ,"5,680"
"4,689.50",11803 ,"28,445"
"4,650.60",11096 ,"7,884"
"4,609.40",10538 ,"16,803"
"4,547.50",10952 ,"41,619"
"4,527.30",10522 ,"11,001"
"4,495.60",13204 ,"19,984"
"4,465.40",14206 ,"21,670"
"4,372.00",11729 ,"27,409"
"4,367.10",13501 ,"38,464"
"4,347.60",10923 ,"8,705"
"4,307.90",14604 ,"1,651"
"4,282.60",10993 ,"5,069"
"4,280.60",11558 ,"8,646"
"4,256.30",13207 ,"13,352"
"4,197.60",11577 ,"12,788"
"4,172.40",11795 ,"25,536"
"4,139.50",14210 ,"13,787"
"4,134.20",14226 ,"28,593"
"4,129.40",14445 ,"7,892"
"4,095.20",14802 ,"4,260"
"4,068.60",14614 ,"1,136"
"4,051.40",13206 ,"15,997"
"4,010.30",11542 ,"27,691"
"3,991.90",12202 ,"9,066"
"3,976.90",11950 ,"16,969"
"3,951.20",11530 ,"28,155"
"3,931.00",10968 ,"2,301"
"3,828.50",11741 ,"28,651"
"3,804.00",11755 ,"12,329"
"3,728.20",10960 ,"15,637"
"3,721.50",11776 ,"25,675"
"3,650.50",11767 ,"15,259"
"3,605.90",11706 ,"65,865"
"3,603.40",11720 ,"29,374"
"3,565.90",12801 ,"14,574"
"3,471.60",10605 ,"17,671"
"3,457.70",11731 ,"28,969"
"3,438.90",10954 ,"23,678"
"3,402.00",11557 ,"7,364"
"3,348.60",11793 ,"32,710"
"3,340.60",14778 ,"1,388"
"3,335.10",11709 ,"6,724"
"3,332.30",10804 ,"14,850"
"3,322.90",10528 ,"12,720"
"3,308.30",11738 ,"17,643"
"3,295.50",11727 ,"29,987"
"3,293.30",12304 ,"22,537"
"3,289.80",11569 ,"1,284"
"3,240.50",10530 ,"12,431"
"3,220.70",11718 ,"3,117"
"3,220.20",11798 ,"15,362"
"3,186.20",10583 ,"39,510"
"3,177.10",11751 ,"14,679"
"3,172.90",12929 ,"3,778"
"3,116.30",14610 ,"13,679"
"3,109.70",12305 ,"4,923"
"3,102.30",11735 ,"32,499"
"3,076.80",13219 ,"15,318"
"3,039.90",11020 ,"6,120"
"3,018.20",10706 ,"8,734"
"3,012.90",10607 ,"6,727"
"3,005.70",11779 ,"38,733"
"2,995.00",11753 ,"11,657"
"2,970.50",14606 ,"29,076"
"2,942.70",13224 ,"8,767"
"2,935.90",11725 ,"28,646"
"2,935.10",14202 ,"3,570"
"2,920.80",11789 ,"7,659"
"2,887.70",12085 ,507
"2,871.50",11746 ,"68,580"
"2,812.30",14617 ,"22,776"
"2,800.70",14168 ,111
"2,800.40",10983 ,"5,727"
"2,799.80",14225 ,"33,228"
"2,797.80",12183 ,"2,612"
"2,792.20",14150 ,"41,908"
"2,792.10",14043 ,"24,267"
"2,762.10",13088 ,"22,012"
"2,740.00",11796 ,"4,012"
"2,732.80",10965 ,"14,878"
"2,720.10",11772 ,"45,262"
"2,713.30",13475 ,41
"2,697.00",12189 ,"17,675"
"2,696.10",12203 ,"30,926"
"2,682.10",11782 ,"15,045"
"2,670.60",14615 ,"15,579"
"2,651.80",14227 ,"22,950"
"2,643.70",13116 ,"3,492"
"2,643.60",11742 ,"13,229"
"2,640.00",13495 ,"2,304"
"2,628.30",10532 ,"4,906"
"2,587.90",14904 ,"15,411"
"2,579.60",13410 ,255
"2,566.10",11050 ,"30,583"
"2,564.30",11740 ,"9,507"
"2,555.10",11715 ,"4,335"
"2,551.40",11576 ,"12,325"
"2,545.60",11030 ,"17,295"
"2,545.10",10502 ,"5,396"
"2,544.80",11548 ,"2,328"
"2,535.40",11790 ,"18,627"
"2,502.50",11752 ,"9,351"
"2,472.20",14303 ,"6,073"
"2,460.10",14720 ,603
"2,439.90",13214 ,"8,938"
"2,403.10",11732 ,"3,671"
"2,396.10",10596 ,"1,629"
"2,371.30",10523 ,"8,563"
"2,350.60",14221 ,"54,109"
"2,316.30",11787 ,"36,357"
"2,303.00",10517 ,756
"2,294.50",11754 ,"19,201"
"2,276.30",10591 ,"23,037"
"2,242.90",13417 ,"2,925"
"2,233.80",12601 ,"42,608"
"2,221.60",11967 ,"27,115"
"2,214.30",12417 ,762
"2,210.10",14218 ,"18,943"
"2,197.80",14618 ,"21,367"
"2,194.40",10562 ,"31,453"
"2,175.20",14626 ,"29,735"
"2,165.10",14905 ,"9,414"
"2,162.20",14622 ,"12,042"
"2,127.80",14112 ,85
"2,109.90",11763 ,"29,217"
"2,100.40",12466 ,"2,180"
"2,097.70",10996 ,"6,892"
"2,090.00",14305 ,"17,249"
"2,088.20",11705 ,"7,571"
"2,074.20",10533 ,"7,484"
"2,073.20",10594 ,"5,201"
"2,061.20",14068 ,"7,131"
"1,994.50",13090 ,"30,295"
"1,988.20",13643 ,72
"1,979.00",11509 ,"2,232"
"1,968.90",14224 ,"40,002"
"1,965.70",10976 ,"2,266"
"1,957.80",12047 ,"20,086"
"1,954.80",13603 ,"10,727"
"1,947.30",10580 ,"17,322"
"1,941.00",12303 ,"29,906"
"1,937.30",10984 ,"3,117"
"1,920.80",13212 ,"20,348"
"1,909.80",10570 ,"12,592"
"1,902.40",11791 ,"25,213"
"1,888.80",11024 ,"7,789"
"1,884.30",11788 ,"16,167"
"1,880.30",10956 ,"31,090"
"1,871.10",12903 ,"1,086"
"1,853.90",11713 ,"9,530"
"1,836.90",11697 ,"4,078"
"1,811.70",10989 ,"10,113"
"1,804.90",11769 ,"8,716"
"1,799.00",14302 ,25
"1,787.50",14514 ,"6,719"
"1,749.20",14612 ,"34,668"
"1,747.90",11547 ,797
"1,732.10",11804 ,"5,000"
"1,724.20",12205 ,"27,395"
"1,717.40",12309 ,"29,992"
"1,716.90",12130 ,"1,025"
"1,716.70",14109 ,813
"1,712.50",11951 ,"13,401"
"1,685.80",10920 ,"8,682"
"1,676.70",11797 ,"8,645"
"1,671.80",11766 ,"12,718"
"1,665.60",10537 ,"1,952"
"1,653.90",12204 ,"7,277"
"1,645.50",11721 ,"6,482"
"1,639.80",11559 ,"8,402"
"1,621.00",13062 ,303
"1,612.80",13103 ,575
"1,589.00",13352 ,293
"1,564.10",11934 ,"7,929"
"1,558.70",11778 ,"12,747"
"1,548.60",11739 ,"1,421"
"1,542.30",10511 ,"2,349"
"1,530.70",11702 ,"14,512"
"1,530.30",12550 ,"54,903"
"1,528.90",11749 ,"3,346"
"1,528.40",14504 ,"1,739"
"1,519.00",11730 ,"14,204"
"1,503.80",11747 ,"19,793"
"1,496.80",11743 ,"43,533"
"1,482.00",14219 ,"10,912"
"1,461.20",11777 ,"9,448"
"1,447.80",13211 ,"6,819"
"1,442.80",12110 ,"21,837"
"1,431.50",12211 ,"11,503"
"1,426.40",13321 ,"1,175"
"1,413.10",10604 ,"11,397"
"1,393.40",14585 ,69
"1,379.30",10979 ,201
"1,356.30",14228 ,"21,887"
"1,349.10",12508 ,"19,742"
"1,347.10",14120 ,"44,800"
"1,336.40",14623 ,"26,003"
"1,335.80",10913 ,"5,657"
"1,333.30",12603 ,"43,411"
"1,325.00",13461 ,"3,072"
"1,313.10",10547 ,"6,913"
"1,313.10",13319 ,"1,164"
"1,307.90",10548 ,"3,214"
"1,297.60",14722 ,430
"1,289.60",10950 ,"48,838"
"1,289.30",14304 ,"28,605"
"1,289.00",14450 ,"41,414"
"1,282.70",10901 ,"23,195"
"1,278.20",14624 ,"35,918"
"1,276.20",14625 ,"9,990"
"1,268.40",11716 ,"11,134"
"1,262.90",12803 ,"8,093"
"1,261.20",10464 ,"4,532"
"1,252.60",11764 ,"12,969"
"1,245.80",14441 ,444
"1,245.50",10595 ,"8,577"
"1,244.80",10588 ,"2,518"
"1,238.10",12207 ,"1,506"
"1,230.80",12456 ,690
"1,229.00",14526 ,"20,609"
"1,227.90",11953 ,"12,688"
"1,227.20",14051 ,"20,133"
"1,209.30",12471 ,672
"1,203.30",10505 ,785
"1,196.10",14756 ,164
"1,180.90",12084 ,"4,281"
"1,177.20",12065 ,"42,249"
"1,170.50",13157 ,718
"1,164.30",14788 ,245
"1,163.80",10915 ,168
"1,140.30",14580 ,"50,946"
"1,122.80",14774 ,200
"1,121.20",14592 ,187
"1,120.80",10535 ,573
"1,107.40",12054 ,"17,139"
"1,102.30",10589 ,"9,376"
"1,101.40",11545 ,"12,653"
"1,075.60",14588 ,259
"1,073.90",14075 ,"42,837"
"1,072.00",10545 ,135
"1,068.20",10994 ,"6,931"
"1,063.00",14539 ,225
"1,055.70",14827 ,95
"1,055.10",13677 ,240
"1,043.40",12182 ,"14,937"
"1,041.80",13435 ,217
"1,038.10",14169 ,320
